epoch,train_loss,train_time,val_loss,avg_precision,avg_recall,avg_f1,background_precision,background_recall,background_f1,vivienda precaria_precision,vivienda precaria_recall,vivienda precaria_f1,valid_time
0,0.30575743317604065,0:01:08.657942,0.27477967739105225,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:08.105827
1,0.24108551442623138,0:01:05.051591,0.3369295597076416,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:07.128925
2,0.23692458868026733,0:01:04.509902,0.2758714258670807,0.8873971700668335,0.9191544055938721,0.9029966592788696,0.9191567301750183,0.9999969005584717,0.9578741788864136,0.5263158082962036,3.9066315366653726e-05,7.812683907104656e-05,0:00:07.683643
3,0.23163200914859772,0:01:06.267750,0.29577919840812683,0.8655920028686523,0.900993287563324,0.8829379081726074,0.9233033657073975,0.9731196761131287,0.9475571513175964,0.2094588428735733,0.08097275346517563,0.11679486185312271,0:00:08.050691
4,0.22183924913406372,0:01:24.341221,0.3381495475769043,0.8448442816734314,0.9191541075706482,0.880433976650238,0.9191541075706482,1.0,0.9578741788864136,0.0,0.0,0.0,0:00:08.774120
5,0.22678448259830475,0:01:04.970766,0.2271256446838379,0.8917965292930603,0.9185707569122314,0.9049856662750244,0.9275239706039429,0.9886617064476013,0.9571175575256348,0.485603392124176,0.12169156968593597,0.19461330771446228,0:00:06.897632
6,0.2176714390516281,0:00:59.064199,0.3423900008201599,0.8673385381698608,0.8898616433143616,0.8784556984901428,0.9256196618080139,0.9570828080177307,0.9410883188247681,0.204728364944458,0.12560991942882538,0.1556944102048874,0:00:11.391725
7,0.20124146342277527,0:01:09.048350,0.23018966615200043,0.9121363759040833,0.9138575792312622,0.9129961133003235,0.9513998627662659,0.9550682306289673,0.9532305002212524,0.4657410979270935,0.44532474875450134,0.45530420541763306,0:00:07.119612
8,0.1943335384130478,0:01:02.971214,0.347612589597702,0.8886836767196655,0.8192272782325745,0.8525431156158447,0.9478832483291626,0.8500655889511108,0.8963135480880737,0.215630441904068,0.4686199724674225,0.29535600543022156,0:00:07.376140
9,0.19470684230327606,0:01:02.269496,0.2389151006937027,0.9224832653999329,0.9246139526367188,0.9235474467277527,0.9248125553131104,0.9992200136184692,0.9605775475502014,0.8960003852844238,0.07640199363231659,0.14079812169075012,0:00:07.427383
