epoch,train_loss,train_time,val_loss,avg_precision,avg_recall,avg_f1,background_precision,background_recall,background_f1,viviendas precarias_precision,viviendas precarias_recall,viviendas precarias_f1,valid_time
0,0.8789449334144592,0:00:15.721634,0.6340566873550415,0.8680751919746399,0.8121505379676819,0.8391821384429932,0.9340078234672546,0.8533048629760742,0.8918343186378479,0.2208360731601715,0.4081515669822693,0.28660207986831665,0:00:01.449067
1,0.5834676623344421,0:00:17.419473,0.602670431137085,0.8728870749473572,0.7830689549446106,0.825542151927948,0.940268337726593,0.8125916123390198,0.8717800378799438,0.21142669022083282,0.49325478076934814,0.2959839999675751,0:00:01.490712
2,0.5448315739631653,0:00:18.032199,0.5864874124526978,0.8933998346328735,0.5731897950172424,0.698337972164154,0.9684523940086365,0.547548234462738,0.6995701193809509,0.15663306415081024,0.8249043822288513,0.2632753252983093,0:00:01.424354
3,0.5192679166793823,0:00:17.499325,1.0062578916549683,0.8381215333938599,0.907504677772522,0.871434211730957,0.9075543880462646,0.999938428401947,0.9515091776847839,0.156521737575531,0.0001121090172091499,0.00022405754134524614,0:00:01.527567
4,0.5390295386314392,0:00:19.110007,0.6743884682655334,0.8507382869720459,0.6885634660720825,0.7611078023910522,0.9240145087242126,0.7156925797462463,0.8066200613975525,0.13140985369682312,0.42224615812301636,0.20043964684009552,0:00:01.658513
5,0.5109151601791382,0:00:17.107251,0.8247776031494141,0.8272873759269714,0.8854848146438599,0.8553973436355591,0.9064804315567017,0.9743399620056152,0.9391860365867615,0.04987431690096855,0.013222635723650455,0.02090338245034218,0:00:01.226429
6,0.5234179496765137,0:00:17.658042,0.9430519342422485,0.8490753173828125,0.8815636038780212,0.8650144934654236,0.9135109186172485,0.9604300856590271,0.9363831877708435,0.21653161942958832,0.10735684633255005,0.14354416728019714,0:00:01.428238
7,0.5496342778205872,0:00:15.113889,0.6891456246376038,0.8834338188171387,0.3896605372428894,0.5407914519309998,0.9614030718803406,0.341184139251709,0.5036368370056152,0.11803451925516129,0.865537703037262,0.20773935317993164,0:00:01.349122
8,0.5173597931861877,0:00:15.410282,1.0488829612731934,0.8264410495758057,0.8799294233322144,0.8523468971252441,0.9060604572296143,0.968066394329071,0.9360376596450806,0.04484296590089798,0.014717423357069492,0.022161470726132393,0:00:01.489143
9,0.5361517667770386,0:00:17.512983,0.5467078685760498,0.8947278261184692,0.6869357824325562,0.777182400226593,0.965969979763031,0.6789637804031372,0.7974286675453186,0.19536684453487396,0.7651938796043396,0.3112630248069763,0:00:01.220281
10,0.5070046782493591,0:00:17.064649,0.6232747435569763,0.8728114366531372,0.802219033241272,0.8360277414321899,0.9388332962989807,0.8365760445594788,0.8847598433494568,0.2246960699558258,0.46494725346565247,0.3029734790325165,0:00:01.387268
11,0.4939190447330475,0:00:17.337580,0.5580958127975464,0.8966543078422546,0.6481657028198242,0.752424955368042,0.9694335460662842,0.6322605609893799,0.7653578519821167,0.18220439553260803,0.8043012619018555,0.2971036732196808,0:00:01.720073
12,0.4907999038696289,0:00:16.989463,1.1459591388702393,0.8470913767814636,0.9059620499610901,0.8755382299423218,0.9080455303192139,0.9973841309547424,0.9506205320358276,0.24872449040412903,0.008501600474119186,0.01644122786819935,0:00:01.258542
13,0.4988485276699066,0:00:17.497803,0.8233810663223267,0.9122446179389954,0.3405444920063019,0.4959492087364197,0.9928328394889832,0.27535519003868103,0.43113747239112854,0.1211361289024353,0.9804868102073669,0.2156316339969635,0:00:01.449337
14,0.49569523334503174,0:00:16.355173,1.0435266494750977,0.8634516000747681,0.9063007235527039,0.8843574523925781,0.9097400307655334,0.9955270886421204,0.9507021903991699,0.4090528190135956,0.030394000932574272,0.056583650410175323,0:00:01.295391
