epoch,train_loss,train_time,val_loss,avg_precision,avg_recall,avg_f1,background_precision,background_recall,background_f1,viviendas precarias_precision,viviendas precarias_recall,viviendas precarias_f1,valid_time
0,1.1349825859069824,0:00:21.424076,0.8626114130020142,0.9131859540939331,0.10097863525152206,0.18184873461723328,0.9967136383056641,0.00942869484424591,0.018680673092603683,0.09322195500135422,0.99969482421875,0.170540913939476,0:00:02.337710
1,0.8249207139015198,0:00:21.622501,1.1340999603271484,0.8335244655609131,0.8733624219894409,0.852978527545929,0.9079987406730652,0.9574766755104065,0.9320815801620483,0.10243465006351471,0.047640103846788406,0.06503422558307648,0:00:02.341901
2,0.7314028143882751,0:00:21.629537,0.7433646321296692,0.83424311876297,0.7656762003898621,0.7984904050827026,0.9090826511383057,0.8242383599281311,0.8645839691162109,0.09956803172826767,0.19079086184501648,0.13084958493709564,0:00:02.319337
3,0.6252365708351135,0:00:21.960543,0.6830027103424072,0.8777720928192139,0.3376418948173523,0.4876899719238281,0.9559574723243713,0.2832174301147461,0.43697434663772583,0.11025197058916092,0.8719092011451721,0.1957513988018036,0:00:02.374697
4,0.6621763110160828,0:00:21.681222,0.8390817046165466,0.8227616548538208,0.8863070011138916,0.8533530235290527,0.9056978225708008,0.9763879776000977,0.9397153258323669,0.008604384958744049,0.0020117340609431267,0.003261028556153178,0:00:02.198045
5,0.6272740364074707,0:00:21.527294,0.83619225025177,0.8351650238037109,0.8829714059829712,0.8584030866622925,0.9083533883094788,0.9687947630882263,0.9376009702682495,0.11669839173555374,0.040471356362104416,0.06009988859295845,0:00:02.209618
6,0.5931363105773926,0:00:21.681420,0.7424903512001038,0.8294976353645325,0.8157008290290833,0.8225414156913757,0.905927836894989,0.8892691135406494,0.8975211381912231,0.07920713722705841,0.09350515156984329,0.0857643112540245,0:00:02.240740
7,0.5995262265205383,0:00:21.692502,0.7516207695007324,0.8399970531463623,0.8316471576690674,0.8358012437820435,0.9121096730232239,0.9013511538505554,0.90669846534729,0.13209116458892822,0.14738598465919495,0.13932006061077118,0:00:02.203028
8,0.6089959740638733,0:00:21.807923,0.6626548767089844,0.8794237375259399,0.7352588772773743,0.8009055256843567,0.9489615559577942,0.7485499382019043,0.8369252681732178,0.1967938393354416,0.6047845482826233,0.2969588041305542,0:00:02.252003
9,0.6022973656654358,0:00:21.792286,0.6421075463294983,0.8845680952072144,0.7043163776397705,0.784217894077301,0.9552968740463257,0.7072936296463013,0.8127983212471008,0.19024676084518433,0.6750893592834473,0.2968408763408661,0:00:02.217632
